index,subzone,zone,supersubzone
0,4692,1,4678
1,4696,1,4678
2,4726,1,4678
3,4711,1,4711
4,4678,1,4678
5,4751,1,4813
6,4748,1,4678
7,4750,1,4750
8,4813,1,4813
9,4856,1,4858
10,4854,1,4858
11,4859,1,4858
12,4858,1,4858
13,4861,1,4861
14,4868,1,4874
15,4869,1,4874
16,4872,1,4861
17,4874,1,4874
18,4743,10,4747
19,4744,10,4747
20,4780,10,4747
21,4787,10,4747
22,4747,10,4747
23,4828,10,4747
24,4830,10,4830
25,4849,10,4830
26,4864,10,4864
27,4866,10,4866
28,4875,10,4875
29,4879,10,4879
30,4880,10,4880
31,4873,10,4873
32,2436,100,2482
33,2447,100,2482
34,2448,100,2482
35,2446,100,2482
36,2457,100,2482
37,2461,100,2482
38,2473,100,2482
39,2482,100,2482
40,2990,100,2990
41,1099,101,2612
42,1103,101,2612
43,1105,101,2612
44,2620,101,2612
45,2678,101,2612
46,2696,101,2696
47,2737,101,2612
48,2738,101,2612
49,2743,101,2612
50,2744,101,2612
51,2750,101,2612
52,2828,101,2828
53,2840,101,2828
54,2847,101,2847
55,2612,101,2612
56,3002,101,2612
57,3005,101,2612
58,3012,101,2612
59,3017,101,2612
60,3170,101,3421
61,3176,101,3421
62,3284,101,3421
63,3292,101,3421
64,3421,101,3421
65,3462,101,3462
66,3480,101,3462
67,3485,101,3485
68,3558,101,3558
69,3535,101,3535
70,2412,102,2412
71,2433,102,2412
72,2443,102,2420
73,2449,102,2458
74,2454,102,2458
75,2450,102,2420
76,2408,102,2408
77,2463,102,2420
78,2458,102,2458
79,2480,102,2483
80,2420,102,2420
81,2485,102,2479
82,2477,102,2477
83,2478,102,2478
84,2479,102,2479
85,2483,102,2483
86,2492,102,2492
87,2520,102,2536
88,2529,102,2549
89,2553,102,2536
90,2536,102,2536
91,2574,102,2536
92,2575,102,2580
93,2549,102,2549
94,2602,102,2589
95,2581,102,2581
96,2624,102,2589
97,2614,102,2614
98,2631,102,2470
99,2580,102,2580
100,2664,102,2470
101,2666,102,2662
102,2682,102,2470
103,2713,102,2589
104,2589,102,2589
105,2706,102,2706
106,2732,102,2470
107,2736,102,2470
108,2739,102,2757
109,2734,102,2734
110,2741,102,2470
111,2745,102,2757
112,2470,102,2470
113,2759,102,2759
114,2757,102,2757
115,2662,102,2662
116,2782,102,2662
117,2793,102,2662
118,2806,102,2662
119,2957,102,2957
