GRIDCODE,region
6,
8,
12,
15,
16,
17,
19,
33,
37,
38,
41,
42,
11,
47,
48,
49,
27,
44,
45,
51,
7,
52,
39,
55,
56,
28,
35,
58,
54,
59,
5,
22,
62,
64,
66,
61,
50,
68,
46,
69,
70,
74,
67,
53,
77,
78,
10,
76,
79,
80,
72,
83,
84,
20,
82,
86,
87,
73,
81,
92,
34,
1,
93,
75,
63,
94,
89,
96,
91,
21,
88,
85,
97,
65,
98,
100,
101,
103,
104,
90,
106,
108,
109,
110,
111,
2,
112,
114,
115,
117,
107,
121,
123,
118,
124,
122,
126,
113,
29,
30,
127,
130,
131,
132,
116,
133,
134,
136,
95,
129,
140,
105,
102,
145,
146,
147,
138,
144,
125,
142,
143,
149,
137,
151,
153,
154,
155,
158,
159,
150,
161,
152,
24,
162,
119,
165,
166,
169,
14,
168,
156,
170,
160,
175,
141,
182,
176,
163,
183,
184,
167,
178,Fraser River Valley
187,
190,
191,
13,
164,
192,
193,
194,
195,
148,
177,
196,
128,
181,
157,
171,
186,
198,
9,
197,
36,
203,
205,
207,
179,
206,
208,
212,
215,
214,
71,
220,
217,
223,
224,
211,
219,
213,
227,
228,
229,
222,
226,
231,
216,
180,
232,
209,
234,
201,
236,
185,Okanogan / Wenatchee
240,
189,
241,
242,
238,
239,
225,
246,
247,
249,
237,
235,
172,
248,
251,
259,
254,
260,
262,
263,
250,
253,
265,
266,
221,
173,
32,
200,
269,
23,
271,
268,
202,Okanogan / Wenatchee
275,
276,
278,
274,
280,
233,
282,
264,
284,
277,
285,
252,
258,
286,
245,
272,
290,
292,
273,
295,
297,
281,
291,
293,
301,
303,
307,
300,
308,
309,
294,
261,
210,
283,
288,
135,
317,
311,
313,
320,
321,
323,
306,
326,
287,
299,
279,
328,
310,
329,
322,
324,
319,
331,
256,
314,
332,
335,
267,
336,
337,
339,
334,
341,
342,
330,
327,
348,
315,
26,
345,
352,
353,
354,Puget Trough
355,Puget Trough
350,
318,
360,
361,Puget Trough
362,Puget Trough
365,
358,
344,
351,
349,
372,
204,
359,
375,
364,
343,
376,
377,
374,
356,
381,
383,
368,
384,
385,
386,
387,
366,
389,
390,
296,
391,
174,
379,
367,Puget Trough
392,Puget Trough
393,
395,
388,
396,
373,
400,
402,
404,
405,
399,
410,
380,Puget Trough
408,
99,
411,
139,Fraser River Valley
412,Puget Trough
415,
417,
418,
420,
218,
422,
397,
425,
312,
398,
426,
427,
4,
429,
382,
270,
371,
423,
304,
434,
435,
414,
436,
401,
438,
441,
442,
416,
439,
333,
446,
448,
449,
453,
457,
458,
302,
424,
461,
454,
456,
462,
421,
433,
459,
463,
447,
464,
465,
451,
468,
25,
444,
316,
469,
470,
472,
474,
460,
243,
476,
479,
480,
482,
483,
357,
486,
487,
489,
490,
31,
491,
493,
478,
452,
495,
484,
455,
394,
440,
499,
57,
471,
500,
477,
347,
502,
496,
504,
505,
498,
370,
507,
409,
450,
501,
508,
494,
3,
443,
338,Fraser River Valley
509,
510,
467,
511,
369,
506,
305,
513,
514,
40,
437,
407,
503,
519,Okanogan / Wenatchee
521,
522,
527,
528,
466,
517,
473,
531,
515,
533,
535,
492,
537,
530,Okanogan / Wenatchee
488,
445,
413,
526,
543,
532,
545,
419,
547,
539,
529,
540,Okanogan / Wenatchee
485,Okanogan / Wenatchee
525,
549,
551,
541,Okanogan / Wenatchee
553,
244,
555,
430,
556,Okanogan / Wenatchee
542,
524,
538,
558,
475,
546,
560,
561,
518,Okanogan / Wenatchee
552,Okanogan / Wenatchee
523,
516,
565,
569,
575,Okanogan / Wenatchee
520,Okanogan / Wenatchee
557,Okanogan / Wenatchee
564,Okanogan / Wenatchee
566,
576,
378,
570,
403,
573,
574,
512,
431,
581,
481,Puget Trough
583,
584,
585,
582,
587,
588,
579,
580,
562,Okanogan / Wenatchee
586,
255,
590,Okanogan / Wenatchee
563,Okanogan / Wenatchee
230,
257,
594,
577,Puget Trough
593,Okanogan / Wenatchee
596,
598,
572,
428,
60,
601,
602,
603,
592,Okanogan / Wenatchee
340,Okanogan / Wenatchee
595,
406,
608,
604,Okanogan / Wenatchee
609,Okanogan / Wenatchee
610,
571,
612,
605,Okanogan / Wenatchee
614,
617,
599,Okanogan / Wenatchee
615,
620,
591,Okanogan / Wenatchee
623,
628,
629,
630,
621,Okanogan / Wenatchee
534,
619,
627,
633,
607,
634,
636,
637,
606,
638,
641,
632,
642,
643,
622,
639,
640,
646,
624,
648,
652,
653,Okanogan / Wenatchee
658,
659,
660,
649,
650,
635,
663,
611,
664,
289,
665,
655,
666,
667,
668,
626,
589,
670,
661,
662,
673,
647,
676,
678,
679,
680,
43,
682,
645,
656,
683,
684,
671,
685,
686,
681,
672,
616,
688,
625,
690,
554,
644,
687,
693,
689,
651,
691,
695,
697,
677,
700,
701,
702,
692,
706,
707,
698,
699,
709,
712,
713,
714,
717,
719,
722,
723,
724,
704,
720,
728,Okanogan / Wenatchee
731,
199,
711,
559,
732,
675,
120,
669,
737,
346,
739,
631,Puget Trough
657,
708,
715,Puget Trough
740,
733,
716,
745,
618,Okanogan / Wenatchee
729,
747,
749,
738,
750,
743,
753,
755,
748,
721,
757,
744,
674,
760,
761,
762,
742,
764,
735,
696,
768,
769,
770,
758,
771,
772,
773,
777,
763,
779,
734,
780,
782,
730,
783,
784,
785,
767,
775,
776,
754,Okanogan / Wenatchee
790,
791,
792,
746,
787,
751,
781,
718,
536,
752,
800,
801,
798,
799,
432,
804,
805,
774,
810,
811,
795,
796,
710,
654,
812,
815,
793,
756,
818,
567,
814,
820,
822,
544,
797,
819,Northern Rockies Valleys
825,
821,
788,
803,
826,
809,
829,
830,
834,
828,
839,
840,
835,
841,
778,
843,
844,
846,
808,
836,
817,
827,
816,
832,
833,Northern Rockies Valleys
848,Northern Rockies Valleys
856,
850,
842,
859,
860,
861,
786,
857,
789,
855,Northern Rockies Valleys
867,
868,
869,
870,
851,
871,
872,
824,
875,
876,
878,
802,
862,
858,
881,
882,
886,
874,
887,
888,
890,
863,
838,
852,
892,
877,
894,Northern Rockies Valleys
854,
845,
901,Okanogan / Wenatchee
883,
889,
903,Northern Rockies Valleys
904,Northern Rockies Valleys
896,
897,
837,
727,
899,
902,
907,
893,Northern Rockies Valleys
908,Northern Rockies Valleys
849,Northern Rockies Valleys
910,
879,
891,
880,
911,
794,
913,
898,
915,
909,
765,Puget Trough
918,
912,
920,
914,
741,
916,Northern Rockies Valleys
922,Northern Rockies Valleys
865,Northern Rockies Valleys
866,
924,
925,
926,
927,
928,
885,
895,Northern Rockies Valleys
931,
919,
932,
917,Northern Rockies Valleys
934,
759,
736,Okanogan / Wenatchee
935,
937,
938,
929,Northern Rockies Valleys
923,
940,
939,
941,
942,
943,
945,
946,
947,
703,Northern Rockies Valleys
949,
921,
847,Northern Rockies Valleys
944,
950,Okanogan / Wenatchee
953,Okanogan / Wenatchee
954,Okanogan / Wenatchee
497,Okanogan / Wenatchee
951,Okanogan / Wenatchee
600,
325,
957,Northern Rockies Valleys
936,
952,
955,Okanogan / Wenatchee
956,Okanogan / Wenatchee
959,
961,Northern Rockies Valleys
948,Northern Rockies Valleys
958,
962,
960,
550,
967,
965,
905,
906,
823,
968,
969,
964,
971,
972,
973,
974,
966,
976,
977,
978,
979,
864,
766,
975,Northern Rockies Valleys
981,
963,Northern Rockies Valleys
983,
985,Okanogan / Wenatchee
988,
990,
933,Okanogan / Wenatchee
986,
991,
995,
996,
705,Northern Rockies Valleys
992,
997,
987,
994,
998,
999,
980,
993,
1001,
1000,
1003,
1004,
18,
1008,Okanogan / Wenatchee
1009,Columbia Plateau
982,
989,
1011,
1012,
1006,Columbia Plateau
1013,
1015,
1016,
1010,Okanogan / Wenatchee
1007,Columbia Plateau
1018,
1019,
1017,
1014,
1020,Northern Rockies Valleys
1021,
1022,Northern Rockies Valleys
1023,
1024,
1028,Northern Rockies Valleys
1026,
1029,
1030,
1031,
1034,
1040,
1041,
1036,
1037,
1038,
1042,
1032,
1048,
1002,Okanogan / Wenatchee
1039,
1046,
1051,
1053,
1047,
1052,
